"lang_id","code","name","percent","official"
697,"PRT","Mirandese",null,true
698,"PRI","Spanish",null,false
699,"PRI","English",null,false
700,"QAT","Arabic",null,true
701,"QAT","English",null,false
702,"ROM","Romanian",85.4,true
703,"ROM","Hungarian",6.3,false
704,"ROM","Romani",1.2,false
705,"ROM","Other",1,false
706,"ROM","unspecified",6.1,false
707,"RUS","Russian",85.7,true
708,"RUS","Tatar",3.2,false
709,"RUS","Chechen",1,false
710,"RUS","Other",10.1,false
711,"RWA","Kinyarwanda",99.4,true
712,"RWA","French",0.1,true
713,"RWA","English",0.1,true
714,"RWA","Swahili",0.02,false
715,"RWA","Other",0.03,false
716,"RWA","unspecified",0.3,false
717,"KNA","English",null,true
718,"LCA","English",null,true
719,"LCA","French patois",null,false
720,"SPM","French",null,true
721,"VCT","English",null,false
722,"VCT","French patois",null,false
723,"WSM","Samoan",null,true
724,"WSM","English",null,false
725,"SMR","Italian",null,false
726,"STP","Portuguese",98.4,true
727,"STP","Forro",36.2,false
728,"STP","Cabo",8.5,false
729,"STP","French",6.8,false
730,"STP","Angolar",6.6,false
731,"STP","English",4.9,false
732,"STP","Lunguie",1,false
733,"STP","Other",2.4,false
734,"SAU","Arabic",null,true
735,"SEN","French",null,true
736,"SEN","Wolof",null,false
737,"SEN","Pular",null,false
738,"SEN","Jola",null,false
739,"SEN","Mandinka",null,false
740,"SEN","Serer",null,false
741,"SEN","Soninke",null,false
742,"SYC","Seychellois",89.1,true
743,"SYC","English",5.1,true
744,"SYC","French",0.7,true
745,"SYC","Other",3.8,false
746,"SYC","unspecified",1.4,false
747,"SLE","English",null,true
748,"SLE","Mende",null,false
749,"SLE","Temne",null,false
750,"SLE","Krio",10,false
751,"SGP","Mandarin",36.3,true
752,"SGP","English",29.8,true
753,"SGP","Malay",11.9,true
754,"SGP","Hokkien",8.1,false
755,"SGP","Cantonese",4.1,false
756,"SGP","Tamil",3.2,true
757,"SGP","Teochew",3.2,false
758,"SGP","Other Indian",1.2,false
759,"SGP","Other Chinese",1.1,false
760,"SGP","Other",1.1,false
761,"SVK","Slovak",78.6,true
762,"SVK","Hungarian",9.4,false
763,"SVK","Roma",2.3,false
764,"SVK","Ruthenian",1,false
765,"SVK","Other",8.8,false
766,"SVN","Slovenian",91.1,true
767,"SVN","Serbo",4.5,false
768,"SVN","Other",4.4,false
769,"SVN","Italian",null,true
770,"SVN","Hungarian",null,true
771,"SLB","Melanesian pidgin",null,false
772,"SLB","English",1,true
773,"SLB","indigenous",null,false
774,"SOM","Somali",null,true
775,"SOM","Arabic",null,true
776,"SOM","Italian",null,false
777,"SOM","English",null,false
778,"ZAF","IsiZulu",22.7,true
779,"ZAF","IsiXhosa",16,true
780,"ZAF","Afrikaans",13.5,true
781,"ZAF","English",9.6,true
782,"ZAF","Sepedi",9.1,true
783,"ZAF","Setswana",8,true
784,"ZAF","Sesotho",7.6,true
785,"ZAF","Xitsonga",4.5,true
786,"ZAF","siSwati",2.5,true
787,"ZAF","Tshivenda",2.4,true
788,"ZAF","isiNdebele",2.1,true
789,"ZAF","sign",0.5,false
790,"ZAF","Other",1.6,false
791,"ESP","Castilian Spanish",74,true
792,"ESP","Catalan",17,true
793,"ESP","Galician",7,true
794,"ESP","Basque",2,true
795,"ESP","Aranese",null,true
796,"LKA","Sinhala",74,true
797,"LKA","Tamil",18,true
798,"LKA","Other",8,false
799,"SDN","Arabic",null,true
800,"SDN","English",null,true
801,"SDN","Nubian",null,false
802,"SDN","Ta Bedawie",null,false
803,"SDN","Fur",null,false
804,"SUR","Dutch",null,true
805,"SUR","English",null,false
806,"SUR","Sranang Tongo",null,false
807,"SUR","Caribbean Hindustani",null,false
808,"SUR","Javanese",null,false
809,"SWZ","English",null,true
810,"SWZ","siSwati",null,true
811,"SWE","Swedish",null,true
812,"CHE","German",63,true
813,"CHE","French",22.7,true
814,"CHE","Italian",8.1,true
815,"CHE","English",4.9,false
816,"CHE","Portuguese",3.7,false
817,"CHE","Albanian",3,false
818,"CHE","Serbo-Croatian",2.4,false
819,"CHE","Spanish",2.2,false
820,"CHE","Romansch",0.5,true
821,"CHE","Other",7.1,false
822,"SYR","Arabic",null,true
823,"SYR","Kurdish",null,false
824,"SYR","Armenian",null,false
825,"SYR","Aramaic",null,false
826,"SYR","Circassian",null,false
827,"SYR","French",null,false
828,"SYR","English",null,false
829,"TWN","Mandarin",null,true
830,"TWN","Taiwanese",null,false
831,"TWN","Hakka",null,false
